Empresas com Registro no SND (*)- Gerado em 20/10/2019 01:42:46

Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
SULM23    	SUL AMERICA S/A	 002	 003	 -	Registrado	BRSULADBS053	DISPENSA ICVM 476/09	02/06/2014			16/05/2014	15/05/2022		15/05/2022	03/06/2014	03/06/2014	 -	RCA	16/05/2014			Escritural	Quirografária	Simples	13000			000000013000	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	13284,2658	18/10/2019	IPCA		Padrão - SND	15	-		 -	0	 - 	 -		33.33	0012	MES	15/05/2020	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	7,41	252	0012	MES	15/05/2015	Útil	Exponencial						 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ITAU-BBA S/A	29978814000187	N	n	S
SULM24    	SUL AMERICA S/A	 002	 004	 -	Registrado	BRSULADBS095	DISPENSA ICVM 476/09	13/12/2016			13/12/2016	13/12/2021		13/12/2021	14/12/2016	14/12/2016	 -	RCA	07/11/2016			Escritural	Quirografária	Simples	293680			000000293680	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	18/10/2019	DI		Padrão - SND		-		114	0	 - 	 -		33.33	0012	MES	13/12/2019	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes			0006	MES	13/06/2017	 - 	 - 		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO SANTANDER (BRASIL) S/A	29978814000187	N		S
SULT11    	CONSTRUTORA SULTEPA S/A	 001	 001	 -	Excluído	BRSULTDBP018	DERER/G/DEB - 93/008	15/02/1993			01/11/1992	01/11/1997	02/08/2012 - RESGATE TOTAL ANTECIPADO	02/08/2012	30/07/2004	17/02/1993	 -	AGE	01/12/1992	RCA	17/12/1992	Escritural	Real	Conversível	6000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	6000000	R$	0		PREFIXADO		Não Padrão - SND	00	DU		0	0	 - 	8% a.a 365 dias 		0	0000	MES	 - 	 -	Percentual variável sobre o valor nominal atualizado em períodos não uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	SLW CVC LTDA	ITAU UNIBANCO S/A                                 	BANCO VARIG S/A	89723993000133	N	n	
SULT12    	CONSTRUTORA SULTEPA S/A	 001	 002	Não	Excluído	BRSULTDBP034	SEP/GER/DCA - 95/021	18/09/1995			01/07/1995	01/07/2000	24/12/1998 - CANCELAMENTO	24/12/1998	01/07/1998		 -	AGE	03/07/1995	   		Escritural	Real	Conversível	12000	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	0		TR-REAL	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	000	 - 	 -	 - 	0							0							0	0000	000									ITAU UNIBANCO S.A.	APORTE DTVM LTDA.	ITAU UNIBANCO S/A	AÇÃO S/A CVC	89723993000133	N	n	
SULT13    	CONSTRUTORA SULTEPA S/A	 UNI	 003	Não	Excluído	BRSULTDBS012	SEP/GER/DEB - 97/106	11/12/1997			15/07/1997	15/12/2022	28/11/2013 - RESGATE TOTAL ANTECIPADO	15/12/2022	15/06/2007		 -	AGE	18/09/1997			Escritural	Real	Simples	2350	0	0	000000000000	000000000000	000000002350	000000000000		000000000000		000000000000	R$	5117,56	R$	27670,348943	27/11/2013	IPCA	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	10% a.a 360 dias 		 - 	0001	MES	15/01/2011	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	PLANNER CV S/A	ITAU UNIBANCO S/A	MARLIN S/A CCTVM	89723993000133	N	n	S
SULT14    	CONSTRUTORA SULTEPA S/A	 UNI	 004	Não	Excluído	BRSULTDBS020	CVM/SRE/DEB-2000/005	25/02/2000			03/01/2000	30/04/2003	30/04/2003 - VENCIMENTO	30/04/2003	03/01/2000	29/02/2000	 -	AGE	28/12/1999		15/02/2000	Escritural	Flutuante	Simples	50000			000000000000	000000000000	000000000000	000000040964	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	0	02/05/2003	DI	Integrante de Juros	Padrão - SND	00	DU		105	0	 - 	 -		0	0000	   	 - 	 -	 - 	0	000	0006	MES	30/04/2001	 - 	Exponencial	0	000	    	   		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU UNIBANCO S/A	BANIF PRIMUS CVC S/A	89723993000133	N	n	
SULT21    	CONSTRUTORA SULTEPA S/A	 002	 001	 -	Excluído	BRSULTDBP026	SEP/GER/DEB - 94/008	21/02/1994			01/11/1992	01/11/1997	24/12/1998 - CANCELAMENTO	31/12/2012	01/08/2004	21/02/1994	 -	AGE	01/12/1992	RCA	31/01/1994	Escritural	Real	Conversível	4400			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	6000000	R$	356,000197		PREFIXADO		Não Padrão - SND	00	DU		0	0	 - 	8% a.a 365 dias 		0	0000	MES	 - 	 -	Percentual variável sobre o valor nominal atualizado em períodos não uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	SLW CVC LTDA	ITAU UNIBANCO S/A                                 	BANCO OPEN S/A	89723993000133	N	n	
SUTE11    	SUSTENTA COMERCIALIZADORA DE ENERGIA S.A.	 UNI	 001	 -	Excluído	BRSUTEDBS009	DISPENSA ICVM 476/09	17/12/2013			18/12/2013	18/12/2025	22/03/2019 - RESGATE TOTAL ANTECIPADO	18/12/2025	18/12/2013	18/12/2013	 -	AGE	29/11/2013			Escritural	Quirografária	Simples	2000			000000000000	000000000000	000000002000			000000000000		000000000000	R$	10000	R$	11393,89633	21/03/2019	DI		Não Padrão - SND		-		100	0	 - 	2.7% a.a 252 dias 		 - 	0001	MES	18/07/2019	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	0							0							0		 -									BANCO BRADESCO S/A	PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA	BANCO BRADESCO S/A	BB BCO DE INVESTIMENTO S/A	14568419000159	N	n	S
SUZA12    	COMPANHIA SUZANO DE PAPEL E CELULOSE	 UNI	 002	Não	Excluído	BRSUZADBS012	CVM/SRE/DEB - 99/044	10/06/1999			01/05/1999	01/05/2002	01/05/2002 - VENCIMENTO	01/05/2002	01/05/1999	14/06/1999	 -	AGE	16/04/1999	   		Nominativa	Flutuante	Simples	75000	0	0	000000000000	000000000000	000000000000	000000025622	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	0	02/05/2002	ANBID	Integrante de Juros	Não Padrão - SND	00	DU		0	0	 - 	1.5% a.a 360 dias 		0	0003	MES	01/05/2000	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	0							0							0	0000	 -									BANCO SANTANDER (BRASIL) SA	SIMPLIFIC PAVARINI DTVM LTDA		BANCO BOZANO, SIMONSEN S/A	60651726000116	N	n	
SUZB13    	SUZANO S.A.	 001	 003	Não	Excluído	BRSUZBDBS002	CVM/SRE/DEB-2004/023	17/08/2004			01/04/2004	01/04/2014	09/04/2013 - RESGATE TOTAL ANTECIPADO 	01/04/2014	01/04/2004		 -	RCA	22/07/2004			Escritural	Quirografária	Simples	333000			000000000000	000000000000	000000325455	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	1721,21753	12/08/2013	IGP-M	Correção Monetária	Padrão - SND	1	-		 -	0	 - 	 -		 - 	 - 		 - 	 -	 - 	8	252	0012	MES	01/04/2005	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	16404287000155	N	n	S
SUZB16    	SUZANO S.A.	 UNI	 006	 -	Registrado	BRSUZBDBS028	DISPENSA ICVM 476/09	28/06/2018			29/06/2018	29/06/2026		29/06/2026	29/06/2018	29/06/2018	 -	RCA	26/06/2018			Escritural	Quirografária	Simples	4681100			000004681100	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	18/10/2019	DI		Padrão - SND		-		112.5	0	 - 	 -		50	 - 		 - 	 -	Percentual fixo sobre o valor nominal de emissão em períodos não uniformes					28/12/2018	 - 	 - 		-				 - 	 -	0		 -									BANCO BRADESCO S/A	SLW CVC LTDA	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	16404287000155	N		S
SUZB17    	SUZANO S.A.	 UNI	 007	 -	Excluído	BRSUZBDBS036	DISPENSA ICVM 476/09	04/01/2019			07/01/2019	02/01/2020	03/06/2019 - RESGATE TOTAL ANTECIPADO	02/01/2020	07/01/2019	07/01/2019	 -	RCA	07/12/2018			Escritural	Quirografária	Simples	400000			000000000000	000000000000	000000400000			000000000000		000000000000	R$	10000	R$	5000	31/05/2019	DI		Padrão - SND		-		103	0	 - 	 -		 - 	 - 		 - 	 -	 - 			0003	MES	07/04/2019	 - 	 - 		-				 - 	 -	0		 -									BANCO BRADESCO S/A	SLW CVC LTDA	BANCO BRADESCO S/A	BB BCO DE INVESTIMENTO S/A	16404287000155	N		S
SUZB18    	SUZANO S.A.	 UNI	 008	 -	Registrado	BRSUZBDBS044	DISPENSA ICVM 476/09	16/10/2019			15/09/2019	15/09/2028		15/09/2028	17/10/2019	17/10/2019	 -	RCA	13/09/2019			Escritural	Quirografária	Simples	75000			000000075000	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	1,2	252	0006	MES	15/03/2020	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO ITAU-BBA S/A	16404287000155	N		S
SUZB23    	SUZANO S.A.	 002	 003	Não	Excluído	BRSUZBDBS010	CVM/SRE/DEB-2004/024	17/08/2004			01/04/2004	07/05/2019	12/06/2014 - RESGATE TOTAL ANTECIPADO	07/05/2019	22/05/2007		 -	RCA	22/07/2004			Escritural	Quirografária	Simples	167000			000000000000	000000000000	000000167000	000000000000		000000000000		000000000000	R$	1000	R$	766,554313	11/06/2014	DOLAR	Correção Monetária	Padrão - SND		-		 -	0	 - 	 -		 - 	 - 		 - 	 -	 - 	9,85	365	0006	MES	07/11/2007	 - 	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	16404287000155	N	n	S
SVII11    	SANTA VITORIA DO PALMAR II ENERGIAS RENOVAVEIS S.A.	 001	 001	 -	Excluído	BRSVIIDBS001	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	04/09/2018	01/08/2018 - RESGATE TOTAL ANTECIPADO	04/09/2018	21/01/2016	20/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	41000			000000007300	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	31/07/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19888311000167	N	n	S
SVII21    	SANTA VITORIA DO PALMAR II ENERGIAS RENOVAVEIS S.A.	 002	 001	 -	Excluído	BRSVIIDBS019	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	04/09/2018	01/08/2018 - RESGATE TOTAL ANTECIPADO	04/09/2018	06/07/2016	21/01/2016	 -	AGE	19/01/2016	AGE	06/01/2016	Escritural	Real	Simples	10200			000000010200	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1008,99427	31/07/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19888311000167	N	n	S
SVII31    	SANTA VITORIA DO PALMAR II ENERGIAS RENOVAVEIS S.A.	 003	 001	 -	Excluído	BRSVIIDBS027	DISPENSA ICVM 476/09	05/07/2016			06/01/2016	04/09/2018	01/08/2018 - RESGATE TOTAL ANTECIPADO	04/09/2018	06/07/2016	20/01/2016	 -	AGE	06/01/2016			Escritural	Real	Simples	30700			000000015350	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	31/07/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19888311000167	N	n	S
SVIT11    	SANTA VITORIA DO PALMAR HOLDING S.A.	 UNI	 001	 -	Registrado	BRSVITDBS008	DISPENSA ICVM 476/09	30/10/2014			15/06/2014	15/06/2028		15/06/2028	15/06/2014	31/10/2014	 -	AGE	14/08/2014			Escritural	Real	Simples	9000			000000009000	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	11424,566848	18/10/2019	IPCA		Padrão - SND	15	-		 -	0	 - 	 -		 - 	0006	MES	15/06/2018	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	8,5	252	0006	MES	15/12/2014	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BCO BTG PACTUAL S/A	12094666000135	S	n	N
SVIX11    	SANTA VITORIA DO PALMAR IX ENERGIAS RENOVAVEIS S.A.	 001	 001	 -	Excluído	BRSVIXDBS000	Dispensa ICVM 476/09	20/01/2016			06/01/2016	06/01/2018	01/12/2017 - RESGATE TOTAL ANTECIPADO	06/01/2018	21/01/2016	06/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	8650			000000000000	000000000000	000000001500			000000000000		000000000000	R$	1000	R$	1000	30/11/2017	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	2,5	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19891491000136	N	n	S
SVIX21    	SANTA VITORIA DO PALMAR IX ENERGIAS RENOVAVEIS S.A.	 002	 001	 -	Excluído	BRSVIXDBS018	Dispensa ICVM 476/09	20/01/2016			06/01/2016	06/01/2018	01/12/2017 - RESGATE TOTAL ANTECIPADO	06/01/2018	06/07/2016	06/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	2150			000000000000	000000000000	000000002150			000000000000		000000000000	R$	1000	R$	1008,99427	30/11/2017	DI		Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	2,5	UTI	0006	MES	06/07/2016	 - 	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19891491000136	N	n	S
SVIX31    	SANTA VITORIA DO PALMAR IX ENERGIAS RENOVAVEIS S.A.	 003	 001	 -	Excluído	BRSVIXDBS026	DISPENSA ICVM 476/09	05/07/2016			06/01/2016	06/01/2018	01/12/2017 - RESGATE TOTAL ANTECIPADO	06/01/2018	06/07/2016	06/07/2016	 -	AGE	06/01/2016			Escritural	Real	Simples	6500			000000000000	000000000000	000000003250			000000000000		000000000000	R$	1000	R$	1000	30/11/2017	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	2,5	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19891491000136	N	n	S
SVIX41    	SANTA VITORIA DO PALMAR IX ENERGIAS RENOVAVEIS S.A.	 004	 001	 -	Excluído	BRSVIXDBS000	DISPENSA ICVM 476/09	20/01/2016			06/01/2016	06/01/2018	01/12/2017 - RESGATE TOTAL ANTECIPADO	06/01/2018	21/01/2016		 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	5000			000000000000	000000000000	000000005000			000000000000		000000000000	R$	1000	R$	1000	30/11/2017	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19891491000136	N		S
SVPX11    	SANTA VITORIA DO PALMAR XII ENERGIAS RENOVAVEIS S.A.	 001	 001	 -	Excluído	BRSXIIDBS007	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	21/01/2016	20/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	28200			000000000000	000000000000	000000004900			000000000000		000000000000	R$	1000	R$	1000	29/06/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20586118000150	N	n	S
SVPX21    	SANTA VITORIA DO PALMAR XII ENERGIAS RENOVAVEIS S.A.	 002	 001	 -	Excluído	BRSXIIDBS015	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	06/07/2016	20/01/2016	 -	AGE	19/01/2016	AGE	06/01/2016	Escritural	Real	Simples	7000			000000000000	000000000000	000000007000			000000000000		000000000000	R$	1000	R$	1008,99427	29/06/2018	DI		Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	UTI	0006	MES	06/07/2016	 - 	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20586118000150	N	n	S
SVPX31    	SANTA VITORIA DO PALMAR XII ENERGIAS RENOVAVEIS S.A.	 003	 001	 -	Excluído	BRSXIIDBS023	DISPENSA ICVM 476/09	05/07/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	06/07/2016	20/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	21100			000000000000	000000000000	000000003516			000000000000		000000000000	R$	1000	R$	1000	29/06/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20586118000150	N	n	S
SVPX41    	SANTA VITORIA DO PALMAR XII ENERGIAS RENOVAVEIS S.A.	 004	 001	 -	Excluído	BRSXIIDBS007	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	21/01/2016	20/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	16300			000000000000	000000000000	000000016300			000000000000		000000000000	R$	1000	R$	1000	29/06/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20586118000150	N		S
SVTX11    	SANTA VITORIA DO PALMAR X ENERGIAS RENOVAVEIS S.A.	 001	 001	 -	Excluído	BRSVTXDBS007	Dispensa ICVM 476/09	20/01/2016			06/01/2016	04/09/2018	01/08/2018 - RESGATE TOTAL ANTECIPADO	04/09/2018	21/01/2016	06/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	8200			000000001400	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	31/07/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19917214000155	N	n	S
SVTX21    	SANTA VITORIA DO PALMAR X ENERGIAS RENOVAVEIS S.A.	 002	 001	 -	Excluído	BRSVTXDBS015	Dispensa ICVM 476/09	20/01/2016			06/01/2016	04/09/2018	01/08/2018 - RESGATE TOTAL ANTECIPADO	04/09/2018	06/07/2016	06/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	2000			000000002000	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1008,99427	31/07/2018	DI		Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	UTI	0006	MES	06/07/2016	 - 	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19917214000155	N	n	S
SVTX31    	SANTA VITORIA DO PALMAR X ENERGIAS RENOVAVEIS S.A.	 003	 001	 -	Excluído	BRSVTXDBS023	DISPENSA ICVM 476/09	05/07/2016			06/01/2016	04/09/2018	01/08/2018 - RESGATE TOTAL ANTECIPADO	04/09/2018	06/07/2016	06/01/2016	 -	AGE	06/01/2016			Escritural	Real	Simples	6100			000000003050	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	31/07/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19917214000155	N	n	S
SVTX41    	SANTA VITORIA DO PALMAR X ENERGIAS RENOVAVEIS S.A.	 004	 001	 -	Excluído	BRSVTXDBS007	DISPENSA ICVM 476/09	20/01/2016			06/01/2016	06/07/2018	09/07/2018 - VENCIMENTO	06/07/2018	21/01/2016	06/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	4800			000000000000	000000000000	000000004800			000000000000		000000000000	R$	1000	R$	1000	06/07/2018	DI		Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	UTI	0006	MES	06/07/2016	 - 	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	19917214000155	N		S
SVXI11    	SANTA VITORIA DO PALMAR XI ENERGIAS RENOVAVEIS S.A.	 001	 001	 -	Excluído	BRSVXIDBS000	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	21/01/2016	20/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	4200			000000000000	000000000000	000000004200			000000000000		000000000000	R$	1000	R$	1000	29/06/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20593647000181	N	n	S
SVXI21    	SANTA VITORIA DO PALMAR XI ENERGIAS RENOVAVEIS S.A.	 002	 001	 -	Excluído	BRSVXIDBS018	DISPENSA ICVM 476/09	19/01/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	06/07/2016	20/01/2016	 -	AGE	06/01/2016	AGE	19/01/2016	Escritural	Real	Simples	6000			000000000000	000000000000	000000006000			000000000000		000000000000	R$	1000	R$	1008,99427	29/06/2018	DI		Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	UTI	0006	MES	06/07/2016	 - 	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20593647000181	N	n	S
SVXI31    	SANTA VITORIA DO PALMAR XI ENERGIAS RENOVAVEIS S.A.	 003	 001	 -	Excluído	BRSVXIDBS026	DISPENSA ICVM 476/09	05/07/2016			06/01/2016	06/07/2018	02/07/2018 - RESGATE TOTAL ANTECIPADO	06/07/2018	20/01/2016	20/01/2016	 -	AGE	06/01/2016			Escritural	Real	Simples	17900			000000000000	000000000000	000000006687			000000000000		000000000000	R$	1000	R$	1000	29/06/2018	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	3	252	0006	MES	06/07/2016	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BRADESCO P/ INC HSBCBM	20593647000181	N	n	S
